Fecha,Ventas,NumTransacc,NumPedidos,NumClientes,UnidadesVendidas,EsFinDeSemana,Trimestre,SemanaMes,DiaAnio,SemanaAnio,Ventas_Lag1,Ventas_Lag7,Ventas_Media_7d,Ventas_Media_30d,Es_Navidad,Dias_para_Navidad,DiaSemana_sin,DiaSemana_cos,Mes_sin,Mes_cos,Prod_20724,Prod_20725,Prod_21212,Prod_21977,Prod_22086,Prod_22178,Prod_22197,Prod_22492,Prod_22834,Prod_23084,Prod_23203,Prod_23307,Prod_47566,Prod_71459,Prod_84077,Prod_84755,Prod_84879,Prod_85099B,Prod_85123A,Prod_Otros,Prod_Sin_Actividad
2010-12-08,40935.64,2519.0,116.0,99.0,21010.0,0,4,2,342,49,57696.38,51118.57,,,0,17,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-12-09,43420.95,2747.0,106.0,90.0,16325.0,0,4,2,343,49,40935.64,40795.79,40935.64,40935.64,0,16,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-10,50741.62,2653.0,76.0,53.0,19558.0,0,4,2,344,49,43420.95,41801.33,42178.295,42178.295,0,15,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-11,0.0,0.0,0.0,0.0,0.0,1,4,2,345,49,50741.62,0.0,45032.736666666664,45032.736666666664,0,14,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-12,16751.7,1383.0,44.0,42.0,8889.0,1,4,2,346,49,0.0,29650.64,33774.5525,33774.5525,0,13,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-13,34693.15,2252.0,70.0,59.0,16461.0,0,4,2,347,50,16751.7,47492.93,30369.982,30369.982,0,12,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010-12-14,40153.95,1972.0,89.0,72.0,19095.0,0,4,2,348,50,34693.15,57696.38,31090.51,31090.51,0,11,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-15,26630.96,1293.0,73.0,66.0,16088.0,0,4,3,349,50,40153.95,40935.64,32385.287142857145,32385.287142857145,0,10,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-16,38464.87,1729.0,121.0,98.0,23668.0,0,4,3,350,50,26630.96,43420.95,30341.761428571426,31665.99625,0,9,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-17,38388.04,3081.0,66.0,51.0,14416.0,0,4,3,351,50,38464.87,50741.62,29633.75,32421.426666666663,0,8,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
