CustomerID,Recency,Frequency,Monetary,num_meses_activo,frecuencia_mensual,dias_entre_compras,ticket_promedio,gasto_mensual,num_productos_unicos,diversidad_producto,cantidad_total_comprada,cantidad_promedio_por_compra,num_cancelaciones,tasa_cancelacion,valor_devuelto,ratio_devolucion_monetario,compras_fin_semana,ratio_fin_semana,dia_semana_mas_frecuente,pais
12346.0,326,1,124.8,1,1.0,0.0,124.8,124.8,1,1.0,120,120.0,1,1.0,124.8,1.0,0,0.0,Tuesday,United Kingdom
12347.0,2,7,4185.2,7,1.0,60.8,597.89,597.89,103,14.71,2338,334.0,0,0.0,0.0,0.0,0,0.0,Tuesday,Otros
12348.0,75,4,1395.48,4,1.0,94.0,348.87,348.87,21,5.25,2188,547.0,0,0.0,0.0,0.0,1,0.25,Thursday,Otros
12349.0,19,1,1417.55,1,1.0,0.0,1417.55,1417.55,72,72.0,630,630.0,0,0.0,0.0,0.0,0,0.0,Monday,Otros
12350.0,310,1,294.4,1,1.0,0.0,294.4,294.4,16,16.0,196,196.0,0,0.0,0.0,0.0,0,0.0,Wednesday,Otros
12352.0,36,7,1385.74,4,1.75,43.3,197.96,346.44,57,8.14,526,75.1,1,0.1429,120.33,0.0868,0,0.0,Wednesday,Otros
12353.0,204,1,89.0,1,1.0,0.0,89.0,89.0,4,4.0,20,20.0,0,0.0,0.0,0.0,0,0.0,Thursday,Otros
12354.0,232,1,1064.6,1,1.0,0.0,1064.6,1064.6,58,58.0,530,530.0,0,0.0,0.0,0.0,0,0.0,Thursday,Otros
12355.0,214,1,459.4,1,1.0,0.0,459.4,459.4,13,13.0,240,240.0,0,0.0,0.0,0.0,0,0.0,Monday,Otros
12356.0,23,3,2487.43,3,1.0,151.0,829.14,829.14,52,17.33,1573,524.3,0,0.0,0.0,0.0,0,0.0,Tuesday,Otros
12357.0,33,1,6177.82,1,1.0,0.0,6177.82,6177.82,131,131.0,2708,2708.0,0,0.0,0.0,0.0,1,1.0,Sunday,Otros
12358.0,2,2,928.06,2,1.0,149.0,464.03,464.03,12,6.0,242,121.0,0,0.0,0.0,0.0,0,0.0,Tuesday,Otros
12359.0,8,4,5053.73,4,1.0,91.3,1263.43,1263.43,214,53.5,1609,402.2,2,0.5,84.5,0.0167,0,0.0,Thursday,Otros
12360.0,52,3,2237.26,3,1.0,74.0,745.75,745.75,104,34.67,1156,385.3,0,0.0,0.0,0.0,0,0.0,Tuesday,Otros
12361.0,287,1,174.9,1,1.0,0.0,174.9,174.9,9,9.0,90,90.0,0,0.0,0.0,0.0,0,0.0,Friday,Otros
12362.0,3,10,4665.03,8,1.25,32.4,466.5,583.13,200,20.0,2197,219.7,3,0.3,71.65,0.0154,0,0.0,Thursday,Otros
12363.0,110,2,552.0,2,1.0,132.0,276.0,276.0,23,11.5,408,204.0,0,0.0,0.0,0.0,0,0.0,Monday,Otros
12364.0,8,4,1186.5,4,1.0,34.7,296.62,296.62,69,17.25,1439,359.8,0,0.0,0.0,0.0,1,0.25,Friday,Otros
12365.0,291,1,320.69,1,1.0,0.0,320.69,320.69,21,21.0,173,173.0,0,0.0,0.0,0.0,0,0.0,Monday,Otros
12367.0,4,1,150.9,1,1.0,0.0,150.9,150.9,10,10.0,172,172.0,0,0.0,0.0,0.0,0,0.0,Monday,Otros
12370.0,51,4,3351.38,3,1.33,103.0,837.84,1117.13,142,35.5,2013,503.2,0,0.0,0.0,0.0,0,0.0,Tuesday,Otros
12371.0,60,1,1527.96,1,1.0,0.0,1527.96,1527.96,62,62.0,582,582.0,0,0.0,0.0,0.0,0,0.0,Tuesday,Otros
12372.0,72,3,1196.04,3,1.0,112.0,398.68,398.68,33,11.0,788,262.7,0,0.0,0.0,0.0,0,0.0,Wednesday,Otros
